cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,704400,
honda.feature.paddle-shifters,fail,cue did not fire,,,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,1075620,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,1075620,
workflow.trade_in_dent,fail,cue did not fire,,,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,100320,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,631500,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,1075620,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,1075620,
honda.feature.hondalink,pass,on-time firing within tolerance and confidence floor,Honda Link,1737840,
universal.feature.heated_front_seats,pass,on-time firing within tolerance and confidence floor,heated seats,1816680,
universal.feature.wireless_phone_charger,pass,on-time firing within tolerance and confidence floor,wireless phone charger,1882860,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,1912680,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,2262120,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,14400,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,20400,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,80100,
workflow.test_drive_opening,pass,on-time firing within tolerance and confidence floor,take it out,260640,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,349380,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,578760,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,862320,
universal.feature.wireless_android_auto,fail,cue did not fire,,,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,938700,
honda.feature.idle-stop,fail,cue did not fire,,,
workflow.walkaround_opening,fail,cue did not fire,,,
universal.feature.led_headlights,fail,cue did not fire,,,
honda.feature.honda_sensing_360plus,fail,cue did not fire,,,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,66660,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,848940,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,327540,
universal.feature.ventilated_front_seats,fail,cue did not fire,,,
universal.feature.heated_front_seats,fail,cue did not fire,,,
universal.feature.hands_free_power_tailgate,fail,cue did not fire,,,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,sunroof,206460,
honda.feature.bose_premium_audio_honda,fail,cue did not fire,,,
honda.feature.real_time_awd,fail,cue did not fire,,,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,29580,
universal.feature.head_up_display,fail,cue did not fire,,,
